"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"0","0"
"Supermax POS","Supermax POS"
"POS Management","POS Management"
"Configuration","Configuration"
"Products","Products"
"Outlet Management","Outlet Management"
"Cashier Management","Cashier Management"
"Receipt Management","Receipt Management"
"Register & Cash Management","Register & Cash Management"
"Report Management","Report Management"
"Sales Report","Sales Report"
"Inventory Report","Inventory Report"
"Customer Report","Customer Report"
"Basic Configuration","Basic Configuration"
"Status","Status"
"Enable","Enable"
"Disable","Disable"
"Do you want to show the product image?","Do you want to show the product image?"
"Yes","Yes"
"No","No"
"Cash payment order status","Cash payment order status"
"Cash payment order status.","Cash payment order status."
"Card payment order status","Card payment order status"
"Card payment order status.","Card payment order status."
"Custom payment order status","Custom payment order status"
"Custom payment order status.","Custom payment order status."
"Product Configuration","Product Configuration"
"No. of Products visible on POS home screen","No. of Products visible on POS home screen"
"Mention the number of products you want to see on POS home screen. Default: 50","Mention the number of products you want to see on POS home screen. Default: 50"
"No. of visible popular products","No. of visible popular products"
"Mention the number of most popular products you want to see in POS. Default: 20","Mention the number of most popular products you want to see in POS. Default: 20"
"Barcode Configuration","Barcode Configuration"
"Barcode Prefix","Barcode Prefix"
"Set barcode prefix. This works only if productID is selected in barcode generated","Set barcode prefix. This works only if productID is selected in barcode generated"
"Generate Barcoded With","Generate Barcoded With"
"ProductId","ProductId"
"Sku","Sku"
"Please make sure if you are choosing SKU or UPC for generating barcode, these should be unique for all the products otherwise, a barcode can be replaced in the case of duplicate SKU/UPC. No two products should have the same SKU/UPC","Please make sure if you are choosing SKU or UPC for generating barcode, these should be unique for all the products otherwise, a barcode can be replaced in the case of duplicate SKU/UPC. No two products should have the same SKU/UPC"
"Barcode Label Sticker Print Configuration","Barcode Label Sticker Print Configuration"
"mm","mm"
"cm","cm"
"in","in"
"px","px"
"Set the barcode label sticker size unit in which you will set the width and height of the label sticker below. Mostly mm is used for sticker size","Set the barcode label sticker size unit in which you will set the width and height of the label sticker below. Mostly mm is used for sticker size"
"Barcode Label Sticker Width","Barcode Label Sticker Width"
"Barcode Label Sticker Height","Barcode Label Sticker Height"
"Barcode Label Sticker Margin Top (in px)","Barcode Label Sticker Margin Top (in px)"
"Set margin top of the contents which will be in label sticker. Default:0px","Set margin top of the contents which will be in label sticker. Default:0px"
"Barcode Label Sticker Margin Right (in px)","Barcode Label Sticker Margin Right (in px)"
"Set margin right of the contents which will be in label sticker. Default:0px","Set margin right of the contents which will be in label sticker. Default:0px"
"Barcode Label Sticker Margin Bottom (in px)","Barcode Label Sticker Margin Bottom (in px)"
"Set margin bottom of the contents which will be in label sticker. Default:0px","Set margin bottom of the contents which will be in label sticker. Default:0px"
"Barcode Label Sticker Margin Left (in px)","Barcode Label Sticker Margin Left (in px)"
"Set margin left of the contents which will be in label sticker. Default:0px","Set margin left of the contents which will be in label sticker. Default:0px"
"Barcode Label Sticker Header Logo","Barcode Label Sticker Header Logo"
"Delete Image","Delete Image"
"This logo / image will be shown in barcode label sticker header as company logo","This logo / image will be shown in barcode label sticker header as company logo"
"Barcode Label Sticker Header Logo Width (in px)","Barcode Label Sticker Header Logo Width (in px)"
"Barcode Label Sticker Header Logo Height (in px)","Barcode Label Sticker Header Logo Height (in px)"
"Barcode Print Image Width (in px)","Barcode Print Image Width (in px)"
"Barcode Image Width (in px). Please Leave Blank for width:auto","Barcode Image Width (in px). Please Leave Blank for width:auto"
"Barcode Image Height (in px). Please Leave Blank for height:auto","Barcode Image Height (in px). Please Leave Blank for height:auto"
"Barcode Image Height (in px)","Barcode Image Height (in px)"
"Barcode Print Code Font Size (in px)","Barcode Print Code Font Size (in px)"
"Barcode character code font size (in px)","Barcode character code font size (in px)"
"Barcode Print Content Font Size (in px)","Barcode Print Content Font Size (in px)"
"Barcode sticker content font size (in px)","Barcode sticker content font size (in px)"
"Barcode Print Content Allow","Barcode Print Content Allow"
"Logo","Logo"
"Name","Name"
"Price","Price"
"Allow the product details as content will be printed on label sticker","Allow the product details as content will be printed on label sticker"
"Barcode Label Sticker Price Currency","Barcode Label Sticker Price Currency"
"Set currency which will be used to convert and format the product price and print in label sticker","Set currency which will be used to convert and format the product price and print in label sticker"
"Supermax Pos","Supermax Pos"
"Supermax Pos Products","Supermax Pos Products"
"Mass Generate Barcode","Mass Generate Barcode"
"Mass Print Barcode","Mass Print Barcode"
"ID","ID"
"Thumbnail","Thumbnail"
"Type","Type"
"SKU","SKU"
