pincode,statename,city,Districtname,
560039,Karnataka,Bengaluru,Bengaluru Urban,
110001,Delhi,Delhi,New Delhi,
110002,Delhi,Delhi,Central,
110003,Delhi,Delhi,South,
110004,Delhi,Delhi,New Delhi,
110005,Delhi,Delhi,Central,
110006,Delhi,Delhi,Central,
110007,Delhi,Delhi,North,
110008,Delhi,Delhi,West,
110009,Delhi,Delhi,North,
110010,Delhi,Delhi,New Delhi,
110011,Delhi,Delhi,New Delhi,
110012,Delhi,Delhi,West,
110013,Delhi,Delhi,South East,
110014,Delhi,Delhi,South,
110015,Delhi,Delhi,West,
110016,Delhi,Delhi,South,
110017,Delhi,Delhi,South,
110018,Delhi,Delhi,West,
110019,Delhi,Delhi,South East,
110020,Delhi,Delhi,South,
110021,Delhi,Delhi,New Delhi,
110022,Delhi,Delhi,New Delhi,
110023,Delhi,Delhi,New Delhi,
110024,Delhi,Delhi,South East,
110025,Delhi,Delhi,South East,
110026,Delhi,Delhi,West,
110027,Delhi,Delhi,West,
110028,Delhi,Delhi,New Delhi,
110029,Delhi,Delhi,South,
110030,Delhi,Delhi,South,
110031,Delhi,Delhi,Shahdara,
110032,Delhi,Delhi,Shahdara,
110033,Delhi,Delhi,North,
110034,Delhi,Delhi,North West,
110035,Delhi,Delhi,North West,
110036,Delhi,Delhi,North,
110037,Delhi,Delhi,New Delhi,
110038,Delhi,Delhi,New Delhi,
110039,Delhi,Delhi,North,
110040,Delhi,Delhi,North West,
110041,Delhi,Delhi,West,
110042,Delhi,Delhi,North,
110043,Delhi,Delhi,South West,
110044,Delhi,Delhi,South,
110045,Delhi,Delhi,South West,
110046,Delhi,Delhi,New Delhi,
110047,Delhi,Delhi,South,
110048,Delhi,Delhi,South East,
110049,Delhi,Delhi,South,
110051,Delhi,Delhi,Shahdara,
110052,Delhi,Delhi,North,
110053,Delhi,Delhi,North East,
110054,Delhi,Delhi,Central,
110055,Delhi,Delhi,Central,
110056,Delhi,Delhi,North West,
110057,Delhi,Delhi,New Delhi,
110058,Delhi,Delhi,West,
110059,Delhi,Delhi,West,
110060,Delhi,Delhi,Central,
110061,Delhi,Delhi,New Delhi,
110062,Delhi,Delhi,South,
110063,Delhi,Delhi,West,
110064,Delhi,Delhi,West,
110065,Delhi,Delhi,South East,
110066,Delhi,Delhi,New Delhi,
110067,Delhi,Delhi,New Delhi,
110068,Delhi,Delhi,South,
110069,Delhi,Delhi,New Delhi,
110070,Delhi,Delhi,New Delhi,
110071,Delhi,Delhi,South West,
110072,Delhi,Delhi,South West,
110073,Delhi,Delhi,South West,
110074,Delhi,Delhi,South,
110075,Delhi,Delhi,South West,
110076,Delhi,Delhi,South,
110077,Delhi,Delhi,South West,
110078,Delhi,Delhi,South West,
110080,Delhi,Delhi,South,
110081,Delhi,Delhi,North West,
110082,Delhi,Delhi,North,
110083,Delhi,Delhi,North West,
110084,Delhi,Delhi,North,
110085,Delhi,Delhi,North West,
110086,Delhi,Delhi,North West,
110087,Delhi,Delhi,West,
110088,Delhi,Delhi,North,
110089,Delhi,Delhi,North West,
110090,Delhi,Delhi,North East,
110091,Delhi,Delhi,East,
110092,Delhi,Delhi,East,
110093,Delhi,Delhi,North East,
110094,Delhi,Delhi,North East,
110095,Delhi,Delhi,Shahdara,
110096,Delhi,Delhi,East,
110097,Delhi,Delhi,South West,
110099,Delhi,Delhi,North West,
110110,Delhi,Delhi,North West,
121001,Haryana,Faridabad,Faridabad,
121002,Haryana,Faridabad,Faridabad,
121003,Haryana,Faridabad,Faridabad,
121004,Haryana,Ballabgarh,Palwal,
121005,Haryana,Faridabad,Faridabad,
121006,Haryana,Ballabgarh,Faridabad,
121007,Haryana,Faridabad,Faridabad,
121008,Haryana,Faridabad,Faridabad,
121009,Haryana,Faridabad,Faridabad,
121010,Haryana,Faridabad,Faridabad,
121012,Haryana,Faridabad,Faridabad,
121013,Haryana,Faridabad,Faridabad,
121014,Haryana,Faridabad,Faridabad,
